"Subject" "Activity" "Measurement" "Average"
1 "WALKING" "fBodyAcc.std.X" -0.32
1 "WALKING" "fBodyAcc.std.Y" 0.06
1 "WALKING" "fBodyAcc.std.Z" -0.28
1 "WALKING" "fBodyAcc.meanFreq.X" -0.21
1 "WALKING" "fBodyAcc.meanFreq.Y" 0.11
1 "WALKING" "fBodyAcc.meanFreq.Z" 0.05
1 "WALKING" "fBodyAccJerk.mean.X" -0.17
1 "WALKING" "fBodyAccJerk.mean.Y" -0.04
1 "WALKING" "fBodyAccJerk.mean.Z" -0.47
1 "WALKING" "fBodyAccJerk.std.X" -0.13
1 "WALKING" "fBodyAccJerk.std.Y" 0.11
1 "WALKING" "fBodyAccJerk.std.Z" -0.53
1 "WALKING" "fBodyAccJerk.meanFreq.X" -0.21
1 "WALKING" "fBodyAccJerk.meanFreq.Y" -0.39
1 "WALKING" "fBodyAccJerk.meanFreq.Z" -0.19
1 "WALKING" "fBodyGyro.mean.X" -0.34
1 "WALKING" "fBodyGyro.mean.Y" -0.1
1 "WALKING" "fBodyGyro.mean.Z" -0.26
1 "WALKING" "fBodyGyro.std.X" -0.52
1 "WALKING" "fBodyGyro.std.Y" -0.03
1 "WALKING" "fBodyGyro.std.Z" -0.44
1 "WALKING" "fBodyGyro.meanFreq.X" 0.01
1 "WALKING" "fBodyGyro.meanFreq.Y" -0.07
1 "WALKING" "fBodyGyro.meanFreq.Z" 0
1 "WALKING" "fBodyAccMag.mean" -0.13
1 "WALKING" "fBodyAccMag.std" -0.4
1 "WALKING" "fBodyAccMag.meanFreq" 0.19
1 "WALKING" "fBodyBodyAccJerkMag.mean" -0.06
1 "WALKING" "fBodyBodyAccJerkMag.std" -0.1
1 "WALKING" "fBodyBodyAccJerkMag.meanFreq" 0.09
1 "WALKING" "fBodyBodyGyroMag.mean" -0.2
1 "WALKING" "fBodyBodyGyroMag.std" -0.32
1 "WALKING" "fBodyBodyGyroMag.meanFreq" 0.27
1 "WALKING" "fBodyBodyGyroJerkMag.mean" -0.32
1 "WALKING" "fBodyBodyGyroJerkMag.std" -0.38
1 "WALKING" "fBodyBodyGyroJerkMag.meanFreq" 0.19
1 "WALKING_UPSTAIRS" "tBodyAcc.mean.X" 0.26
1 "WALKING_UPSTAIRS" "tBodyAcc.mean.Y" -0.02
1 "WALKING_UPSTAIRS" "tBodyAcc.mean.Z" -0.1
1 "WALKING_UPSTAIRS" "tBodyAcc.std.X" -0.35
1 "WALKING_UPSTAIRS" "tBodyAcc.std.Y" 0
1 "WALKING_UPSTAIRS" "tBodyAcc.std.Z" -0.02
1 "WALKING_UPSTAIRS" "tGravityAcc.mean.X" 0.89
1 "WALKING_UPSTAIRS" "tGravityAcc.mean.Y" -0.36
1 "WALKING_UPSTAIRS" "tGravityAcc.mean.Z" -0.08
1 "WALKING_UPSTAIRS" "tGravityAcc.std.X" -0.96
1 "WALKING_UPSTAIRS" "tGravityAcc.std.Y" -0.95
1 "WALKING_UPSTAIRS" "tGravityAcc.std.Z" -0.91
1 "WALKING_UPSTAIRS" "tBodyAccJerk.mean.X" 0.1
1 "WALKING_UPSTAIRS" "tBodyAccJerk.mean.Y" 0.02
1 "WALKING_UPSTAIRS" "tBodyAccJerk.mean.Z" -0.05
1 "WALKING_UPSTAIRS" "tBodyAccJerk.std.X" -0.45
1 "WALKING_UPSTAIRS" "tBodyAccJerk.std.Y" -0.38
1 "WALKING_UPSTAIRS" "tBodyAccJerk.std.Z" -0.71
1 "WALKING_UPSTAIRS" "tBodyGyro.mean.X" 0.05
1 "WALKING_UPSTAIRS" "tBodyGyro.mean.Y" -0.17
1 "WALKING_UPSTAIRS" "tBodyGyro.mean.Z" 0.06
1 "WALKING_UPSTAIRS" "tBodyGyro.std.X" -0.54
1 "WALKING_UPSTAIRS" "tBodyGyro.std.Y" 0
1 "WALKING_UPSTAIRS" "tBodyGyro.std.Z" -0.51
1 "WALKING_UPSTAIRS" "tBodyGyroJerk.mean.X" -0.12
1 "WALKING_UPSTAIRS" "tBodyGyroJerk.mean.Y" -0.04
1 "WALKING_UPSTAIRS" "tBodyGyroJerk.mean.Z" -0.04
1 "WALKING_UPSTAIRS" "tBodyGyroJerk.std.X" -0.61
1 "WALKING_UPSTAIRS" "tBodyGyroJerk.std.Y" -0.6
1 "WALKING_UPSTAIRS" "tBodyGyroJerk.std.Z" -0.61
1 "WALKING_UPSTAIRS" "tBodyAccMag.mean" -0.13
1 "WALKING_UPSTAIRS" "tBodyAccMag.std" -0.32
1 "WALKING_UPSTAIRS" "tGravityAccMag.mean" -0.13
1 "WALKING_UPSTAIRS" "tGravityAccMag.std" -0.32
1 "WALKING_UPSTAIRS" "tBodyAccJerkMag.mean" -0.47
1 "WALKING_UPSTAIRS" "tBodyAccJerkMag.std" -0.48
1 "WALKING_UPSTAIRS" "tBodyGyroMag.mean" -0.13
1 "WALKING_UPSTAIRS" "tBodyGyroMag.std" -0.15
1 "WALKING_UPSTAIRS" "tBodyGyroJerkMag.mean" -0.59
1 "WALKING_UPSTAIRS" "tBodyGyroJerkMag.std" -0.65
1 "WALKING_UPSTAIRS" "fBodyAcc.mean.X" -0.4
1 "WALKING_UPSTAIRS" "fBodyAcc.mean.Y" -0.19
1 "WALKING_UPSTAIRS" "fBodyAcc.mean.Z" -0.43
1 "WALKING_UPSTAIRS" "fBodyAcc.std.X" -0.34
1 "WALKING_UPSTAIRS" "fBodyAcc.std.Y" 0.02
1 "WALKING_UPSTAIRS" "fBodyAcc.std.Z" 0.09
1 "WALKING_UPSTAIRS" "fBodyAcc.meanFreq.X" -0.42
1 "WALKING_UPSTAIRS" "fBodyAcc.meanFreq.Y" -0.16
1 "WALKING_UPSTAIRS" "fBodyAcc.meanFreq.Z" -0.52
1 "WALKING_UPSTAIRS" "fBodyAccJerk.mean.X" -0.48
1 "WALKING_UPSTAIRS" "fBodyAccJerk.mean.Y" -0.41
1 "WALKING_UPSTAIRS" "fBodyAccJerk.mean.Z" -0.69
1 "WALKING_UPSTAIRS" "fBodyAccJerk.std.X" -0.46
1 "WALKING_UPSTAIRS" "fBodyAccJerk.std.Y" -0.38
1 "WALKING_UPSTAIRS" "fBodyAccJerk.std.Z" -0.73
1 "WALKING_UPSTAIRS" "fBodyAccJerk.meanFreq.X" -0.38
1 "WALKING_UPSTAIRS" "fBodyAccJerk.meanFreq.Y" -0.51
1 "WALKING_UPSTAIRS" "fBodyAccJerk.meanFreq.Z" -0.55
1 "WALKING_UPSTAIRS" "fBodyGyro.mean.X" -0.49
1 "WALKING_UPSTAIRS" "fBodyGyro.mean.Y" -0.32
1 "WALKING_UPSTAIRS" "fBodyGyro.mean.Z" -0.45
1 "WALKING_UPSTAIRS" "fBodyGyro.std.X" -0.57
1 "WALKING_UPSTAIRS" "fBodyGyro.std.Y" 0.15
1 "WALKING_UPSTAIRS" "fBodyGyro.std.Z" -0.57
1 "WALKING_UPSTAIRS" "fBodyGyro.meanFreq.X" -0.19
1 "WALKING_UPSTAIRS" "fBodyGyro.meanFreq.Y" -0.47
1 "WALKING_UPSTAIRS" "fBodyGyro.meanFreq.Z" -0.13
1 "WALKING_UPSTAIRS" "fBodyAccMag.mean" -0.35
1 "WALKING_UPSTAIRS" "fBodyAccMag.std" -0.42
1 "WALKING_UPSTAIRS" "fBodyAccMag.meanFreq" -0.1
1 "WALKING_UPSTAIRS" "fBodyBodyAccJerkMag.mean" -0.44
1 "WALKING_UPSTAIRS" "fBodyBodyAccJerkMag.std" -0.53
1 "WALKING_UPSTAIRS" "fBodyBodyAccJerkMag.meanFreq" 0.09
1 "WALKING_UPSTAIRS" "fBodyBodyGyroMag.mean" -0.33
1 "WALKING_UPSTAIRS" "fBodyBodyGyroMag.std" -0.18
1 "WALKING_UPSTAIRS" "fBodyBodyGyroMag.meanFreq" -0.22
1 "WALKING_UPSTAIRS" "fBodyBodyGyroJerkMag.mean" -0.63
1 "WALKING_UPSTAIRS" "fBodyBodyGyroJerkMag.std" -0.69
1 "WALKING_UPSTAIRS" "fBodyBodyGyroJerkMag.meanFreq" 0.11
1 "WALKING_DOWNSTAIRS" "tBodyAcc.mean.X" 0.29
1 "WALKING_DOWNSTAIRS" "tBodyAcc.mean.Y" -0.01
1 "WALKING_DOWNSTAIRS" "tBodyAcc.mean.Z" -0.11
1 "WALKING_DOWNSTAIRS" "tBodyAcc.std.X" 0.03
1 "WALKING_DOWNSTAIRS" "tBodyAcc.std.Y" -0.03
1 "WALKING_DOWNSTAIRS" "tBodyAcc.std.Z" -0.23
1 "WALKING_DOWNSTAIRS" "tGravityAcc.mean.X" 0.93
1 "WALKING_DOWNSTAIRS" "tGravityAcc.mean.Y" -0.27
1 "WALKING_DOWNSTAIRS" "tGravityAcc.mean.Z" -0.06
1 "WALKING_DOWNSTAIRS" "tGravityAcc.std.X" -0.95
1 "WALKING_DOWNSTAIRS" "tGravityAcc.std.Y" -0.94
1 "WALKING_DOWNSTAIRS" "tGravityAcc.std.Z" -0.9
1 "WALKING_DOWNSTAIRS" "tBodyAccJerk.mean.X" 0.05
1 "WALKING_DOWNSTAIRS" "tBodyAccJerk.mean.Y" 0.03
1 "WALKING_DOWNSTAIRS" "tBodyAccJerk.mean.Z" -0.01
1 "WALKING_DOWNSTAIRS" "tBodyAccJerk.std.X" -0.01
1 "WALKING_DOWNSTAIRS" "tBodyAccJerk.std.Y" -0.1
1 "WALKING_DOWNSTAIRS" "tBodyAccJerk.std.Z" -0.35
1 "WALKING_DOWNSTAIRS" "tBodyGyro.mean.X" -0.04
1 "WALKING_DOWNSTAIRS" "tBodyGyro.mean.Y" -0.09
1 "WALKING_DOWNSTAIRS" "tBodyGyro.mean.Z" 0.09
1 "WALKING_DOWNSTAIRS" "tBodyGyro.std.X" -0.46
1 "WALKING_DOWNSTAIRS" "tBodyGyro.std.Y" -0.13
1 "WALKING_DOWNSTAIRS" "tBodyGyro.std.Z" -0.12
1 "WALKING_DOWNSTAIRS" "tBodyGyroJerk.mean.X" -0.07
1 "WALKING_DOWNSTAIRS" "tBodyGyroJerk.mean.Y" -0.04
1 "WALKING_DOWNSTAIRS" "tBodyGyroJerk.mean.Z" -0.03
1 "WALKING_DOWNSTAIRS" "tBodyGyroJerk.std.X" -0.49
1 "WALKING_DOWNSTAIRS" "tBodyGyroJerk.std.Y" -0.24
1 "WALKING_DOWNSTAIRS" "tBodyGyroJerk.std.Z" -0.27
1 "WALKING_DOWNSTAIRS" "tBodyAccMag.mean" 0.03
1 "WALKING_DOWNSTAIRS" "tBodyAccMag.std" 0.02
1 "WALKING_DOWNSTAIRS" "tGravityAccMag.mean" 0.03
1 "WALKING_DOWNSTAIRS" "tGravityAccMag.std" 0.02
1 "WALKING_DOWNSTAIRS" "tBodyAccJerkMag.mean" -0.09
1 "WALKING_DOWNSTAIRS" "tBodyAccJerkMag.std" -0.03
1 "WALKING_DOWNSTAIRS" "tBodyGyroMag.mean" -0.08
1 "WALKING_DOWNSTAIRS" "tBodyGyroMag.std" -0.23
1 "WALKING_DOWNSTAIRS" "tBodyGyroJerkMag.mean" -0.3
1 "WALKING_DOWNSTAIRS" "tBodyGyroJerkMag.std" -0.31
1 "WALKING_DOWNSTAIRS" "fBodyAcc.mean.X" 0.04
1 "WALKING_DOWNSTAIRS" "fBodyAcc.mean.Y" 0
1 "WALKING_DOWNSTAIRS" "fBodyAcc.mean.Z" -0.23
1 "WALKING_DOWNSTAIRS" "fBodyAcc.std.X" 0.02
1 "WALKING_DOWNSTAIRS" "fBodyAcc.std.Y" -0.11
1 "WALKING_DOWNSTAIRS" "fBodyAcc.std.Z" -0.3
1 "WALKING_DOWNSTAIRS" "fBodyAcc.meanFreq.X" -0.31
1 "WALKING_DOWNSTAIRS" "fBodyAcc.meanFreq.Y" 0.06
1 "WALKING_DOWNSTAIRS" "fBodyAcc.meanFreq.Z" 0.29
1 "WALKING_DOWNSTAIRS" "fBodyAccJerk.mean.X" -0.03
1 "WALKING_DOWNSTAIRS" "fBodyAccJerk.mean.Y" -0.13
1 "WALKING_DOWNSTAIRS" "fBodyAccJerk.mean.Z" -0.29
1 "WALKING_DOWNSTAIRS" "fBodyAccJerk.std.X" -0.09
1 "WALKING_DOWNSTAIRS" "fBodyAccJerk.std.Y" -0.13
1 "WALKING_DOWNSTAIRS" "fBodyAccJerk.std.Z" -0.4
1 "WALKING_DOWNSTAIRS" "fBodyAccJerk.meanFreq.X" -0.25
1 "WALKING_DOWNSTAIRS" "fBodyAccJerk.meanFreq.Y" -0.34
1 "WALKING_DOWNSTAIRS" "fBodyAccJerk.meanFreq.Z" 0.01
1 "WALKING_DOWNSTAIRS" "fBodyGyro.mean.X" -0.35
1 "WALKING_DOWNSTAIRS" "fBodyGyro.mean.Y" -0.06
1 "WALKING_DOWNSTAIRS" "fBodyGyro.mean.Z" -0.03
1 "WALKING_DOWNSTAIRS" "fBodyGyro.std.X" -0.5
1 "WALKING_DOWNSTAIRS" "fBodyGyro.std.Y" -0.18
1 "WALKING_DOWNSTAIRS" "fBodyGyro.std.Z" -0.24
1 "WALKING_DOWNSTAIRS" "fBodyGyro.meanFreq.X" -0.1
1 "WALKING_DOWNSTAIRS" "fBodyGyro.meanFreq.Y" 0.08
1 "WALKING_DOWNSTAIRS" "fBodyGyro.meanFreq.Z" -0.08
1 "WALKING_DOWNSTAIRS" "fBodyAccMag.mean" 0.1
1 "WALKING_DOWNSTAIRS" "fBodyAccMag.std" -0.19
1 "WALKING_DOWNSTAIRS" "fBodyAccMag.meanFreq" 0.12
1 "WALKING_DOWNSTAIRS" "fBodyBodyAccJerkMag.mean" 0.03
1 "WALKING_DOWNSTAIRS" "fBodyBodyAccJerkMag.std" -0.1
1 "WALKING_DOWNSTAIRS" "fBodyBodyAccJerkMag.meanFreq" 0.08
1 "WALKING_DOWNSTAIRS" "fBodyBodyGyroMag.mean" -0.19
1 "WALKING_DOWNSTAIRS" "fBodyBodyGyroMag.std" -0.4
1 "WALKING_DOWNSTAIRS" "fBodyBodyGyroMag.meanFreq" 0.35
1 "WALKING_DOWNSTAIRS" "fBodyBodyGyroJerkMag.mean" -0.28
1 "WALKING_DOWNSTAIRS" "fBodyBodyGyroJerkMag.std" -0.39
1 "WALKING_DOWNSTAIRS" "fBodyBodyGyroJerkMag.meanFreq" 0.19
1 "SITTING" "tBodyAcc.mean.X" 0.26
1 "SITTING" "tBodyAcc.mean.Y" 0
1 "SITTING" "tBodyAcc.mean.Z" -0.1
1 "SITTING" "tBodyAcc.std.X" -0.98
1 "SITTING" "tBodyAcc.std.Y" -0.92
1 "SITTING" "tBodyAcc.std.Z" -0.94
1 "SITTING" "tGravityAcc.mean.X" 0.83
1 "SITTING" "tGravityAcc.mean.Y" 0.2
1 "SITTING" "tGravityAcc.mean.Z" 0.33
1 "SITTING" "tGravityAcc.std.X" -0.97
1 "SITTING" "tGravityAcc.std.Y" -0.94
1 "SITTING" "tGravityAcc.std.Z" -0.95
1 "SITTING" "tBodyAccJerk.mean.X" 0.08
1 "SITTING" "tBodyAccJerk.mean.Y" 0
1 "SITTING" "tBodyAccJerk.mean.Z" 0
1 "SITTING" "tBodyAccJerk.std.X" -0.99
1 "SITTING" "tBodyAccJerk.std.Y" -0.98
1 "SITTING" "tBodyAccJerk.std.Z" -0.99
1 "SITTING" "tBodyGyro.mean.X" -0.05
1 "SITTING" "tBodyGyro.mean.Y" -0.09
1 "SITTING" "tBodyGyro.mean.Z" 0.06
1 "SITTING" "tBodyGyro.std.X" -0.98
1 "SITTING" "tBodyGyro.std.Y" -0.97
1 "SITTING" "tBodyGyro.std.Z" -0.94
1 "SITTING" "tBodyGyroJerk.mean.X" -0.09
1 "SITTING" "tBodyGyroJerk.mean.Y" -0.04
1 "SITTING" "tBodyGyroJerk.mean.Z" -0.05
1 "SITTING" "tBodyGyroJerk.std.X" -0.99
1 "SITTING" "tBodyGyroJerk.std.Y" -0.99
1 "SITTING" "tBodyGyroJerk.std.Z" -0.99
1 "SITTING" "tBodyAccMag.mean" -0.95
1 "SITTING" "tBodyAccMag.std" -0.93
1 "SITTING" "tGravityAccMag.mean" -0.95
1 "SITTING" "tGravityAccMag.std" -0.93
1 "SITTING" "tBodyAccJerkMag.mean" -0.99
1 "SITTING" "tBodyAccJerkMag.std" -0.98
1 "SITTING" "tBodyGyroMag.mean" -0.93
1 "SITTING" "tBodyGyroMag.std" -0.93
1 "SITTING" "tBodyGyroJerkMag.mean" -0.99
1 "SITTING" "tBodyGyroJerkMag.std" -0.99
1 "SITTING" "fBodyAcc.mean.X" -0.98
1 "SITTING" "fBodyAcc.mean.Y" -0.94
1 "SITTING" "fBodyAcc.mean.Z" -0.96
1 "SITTING" "fBodyAcc.std.X" -0.98
1 "SITTING" "fBodyAcc.std.Y" -0.92
1 "SITTING" "fBodyAcc.std.Z" -0.93
1 "SITTING" "fBodyAcc.meanFreq.X" -0.05
1 "SITTING" "fBodyAcc.meanFreq.Y" 0.08
1 "SITTING" "fBodyAcc.meanFreq.Z" 0.24
1 "SITTING" "fBodyAccJerk.mean.X" -0.99
1 "SITTING" "fBodyAccJerk.mean.Y" -0.98
1 "SITTING" "fBodyAccJerk.mean.Z" -0.99
1 "SITTING" "fBodyAccJerk.std.X" -0.99
1 "SITTING" "fBodyAccJerk.std.Y" -0.98
1 "SITTING" "fBodyAccJerk.std.Z" -0.99
1 "SITTING" "fBodyAccJerk.meanFreq.X" 0.26
1 "SITTING" "fBodyAccJerk.meanFreq.Y" 0.05
1 "SITTING" "fBodyAccJerk.meanFreq.Z" 0.09
1 "SITTING" "fBodyGyro.mean.X" -0.98
1 "SITTING" "fBodyGyro.mean.Y" -0.98
1 "SITTING" "fBodyGyro.mean.Z" -0.95
1 "SITTING" "fBodyGyro.std.X" -0.98
1 "SITTING" "fBodyGyro.std.Y" -0.96
1 "SITTING" "fBodyGyro.std.Z" -0.94
1 "SITTING" "fBodyGyro.meanFreq.X" 0.19
1 "SITTING" "fBodyGyro.meanFreq.Y" 0.06
1 "SITTING" "fBodyGyro.meanFreq.Z" -0.03
1 "SITTING" "fBodyAccMag.mean" -0.95
1 "SITTING" "fBodyAccMag.std" -0.93
1 "SITTING" "fBodyAccMag.meanFreq" 0.24
1 "SITTING" "fBodyBodyAccJerkMag.mean" -0.99
1 "SITTING" "fBodyBodyAccJerkMag.std" -0.98
1 "SITTING" "fBodyBodyAccJerkMag.meanFreq" 0.35
1 "SITTING" "fBodyBodyGyroMag.mean" -0.96
1 "SITTING" "fBodyBodyGyroMag.std" -0.93
1 "SITTING" "fBodyBodyGyroMag.meanFreq" 0
1 "SITTING" "fBodyBodyGyroJerkMag.mean" -0.99
1 "SITTING" "fBodyBodyGyroJerkMag.std" -0.99
1 "SITTING" "fBodyBodyGyroJerkMag.meanFreq" 0.18
1 "STANDING" "tBodyAcc.mean.X" 0.28
1 "STANDING" "tBodyAcc.mean.Y" -0.02
1 "STANDING" "tBodyAcc.mean.Z" -0.11
1 "STANDING" "tBodyAcc.std.X" -1
1 "STANDING" "tBodyAcc.std.Y" -0.97
1 "STANDING" "tBodyAcc.std.Z" -0.98
1 "STANDING" "tGravityAcc.mean.X" 0.94
1 "STANDING" "tGravityAcc.mean.Y" -0.27
1 "STANDING" "tGravityAcc.mean.Z" 0.01
1 "STANDING" "tGravityAcc.std.X" -0.99
1 "STANDING" "tGravityAcc.std.Y" -0.98
1 "STANDING" "tGravityAcc.std.Z" -0.98
1 "STANDING" "tBodyAccJerk.mean.X" 0.08
1 "STANDING" "tBodyAccJerk.mean.Y" 0.01
1 "STANDING" "tBodyAccJerk.mean.Z" 0
1 "STANDING" "tBodyAccJerk.std.X" -0.99
1 "STANDING" "tBodyAccJerk.std.Y" -0.99
1 "STANDING" "tBodyAccJerk.std.Z" -0.99
1 "STANDING" "tBodyGyro.mean.X" -0.02
1 "STANDING" "tBodyGyro.mean.Y" -0.06
1 "STANDING" "tBodyGyro.mean.Z" 0.07
1 "STANDING" "tBodyGyro.std.X" -0.99
1 "STANDING" "tBodyGyro.std.Y" -0.99
1 "STANDING" "tBodyGyro.std.Z" -0.98
1 "STANDING" "tBodyGyroJerk.mean.X" -0.1
1 "STANDING" "tBodyGyroJerk.mean.Y" -0.04
1 "STANDING" "tBodyGyroJerk.mean.Z" -0.05
1 "STANDING" "tBodyGyroJerk.std.X" -0.99
1 "STANDING" "tBodyGyroJerk.std.Y" -1
1 "STANDING" "tBodyGyroJerk.std.Z" -0.99
1 "STANDING" "tBodyAccMag.mean" -0.98
1 "STANDING" "tBodyAccMag.std" -0.98
1 "STANDING" "tGravityAccMag.mean" -0.98
1 "STANDING" "tGravityAccMag.std" -0.98
1 "STANDING" "tBodyAccJerkMag.mean" -0.99
1 "STANDING" "tBodyAccJerkMag.std" -0.99
1 "STANDING" "tBodyGyroMag.mean" -0.98
1 "STANDING" "tBodyGyroMag.std" -0.98
1 "STANDING" "tBodyGyroJerkMag.mean" -0.99
1 "STANDING" "tBodyGyroJerkMag.std" -0.99
1 "STANDING" "fBodyAcc.mean.X" -1
1 "STANDING" "fBodyAcc.mean.Y" -0.98
1 "STANDING" "fBodyAcc.mean.Z" -0.99
1 "STANDING" "fBodyAcc.std.X" -1
1 "STANDING" "fBodyAcc.std.Y" -0.97
1 "STANDING" "fBodyAcc.std.Z" -0.98
1 "STANDING" "fBodyAcc.meanFreq.X" 0.09
1 "STANDING" "fBodyAcc.meanFreq.Y" 0.12
1 "STANDING" "fBodyAcc.meanFreq.Z" 0.24
1 "STANDING" "fBodyAccJerk.mean.X" -0.99
1 "STANDING" "fBodyAccJerk.mean.Y" -0.99
1 "STANDING" "fBodyAccJerk.mean.Z" -0.99
1 "STANDING" "fBodyAccJerk.std.X" -1
1 "STANDING" "fBodyAccJerk.std.Y" -0.99
1 "STANDING" "fBodyAccJerk.std.Z" -0.99
1 "STANDING" "fBodyAccJerk.meanFreq.X" 0.31
1 "STANDING" "fBodyAccJerk.meanFreq.Y" 0.04
1 "STANDING" "fBodyAccJerk.meanFreq.Z" 0.14
1 "STANDING" "fBodyGyro.mean.X" -0.99
1 "STANDING" "fBodyGyro.mean.Y" -0.99
1 "STANDING" "fBodyGyro.mean.Z" -0.98
1 "STANDING" "fBodyGyro.std.X" -0.99
1 "STANDING" "fBodyGyro.std.Y" -0.99
1 "STANDING" "fBodyGyro.std.Z" -0.98
1 "STANDING" "fBodyGyro.meanFreq.X" -0.12
1 "STANDING" "fBodyGyro.meanFreq.Y" -0.04
1 "STANDING" "fBodyGyro.meanFreq.Z" 0.1
1 "STANDING" "fBodyAccMag.mean" -0.99
1 "STANDING" "fBodyAccMag.std" -0.98
1 "STANDING" "fBodyAccMag.meanFreq" 0.28
1 "STANDING" "fBodyBodyAccJerkMag.mean" -0.99
1 "STANDING" "fBodyBodyAccJerkMag.std" -0.99
1 "STANDING" "fBodyBodyAccJerkMag.meanFreq" 0.42
1 "STANDING" "fBodyBodyGyroMag.mean" -0.98
1 "STANDING" "fBodyBodyGyroMag.std" -0.98
1 "STANDING" "fBodyBodyGyroMag.meanFreq" -0.03
1 "STANDING" "fBodyBodyGyroJerkMag.mean" -0.99
1 "STANDING" "fBodyBodyGyroJerkMag.std" -0.99
1 "STANDING" "fBodyBodyGyroJerkMag.meanFreq" 0.33
1 "LAYING" "tBodyAcc.mean.X" 0.22
1 "LAYING" "tBodyAcc.mean.Y" -0.04
1 "LAYING" "tBodyAcc.mean.Z" -0.11
1 "LAYING" "tBodyAcc.std.X" -0.93
1 "LAYING" "tBodyAcc.std.Y" -0.84
1 "LAYING" "tBodyAcc.std.Z" -0.83
1 "LAYING" "tGravityAcc.mean.X" -0.25
1 "LAYING" "tGravityAcc.mean.Y" 0.71
1 "LAYING" "tGravityAcc.mean.Z" 0.45
1 "LAYING" "tGravityAcc.std.X" -0.9
1 "LAYING" "tGravityAcc.std.Y" -0.91
1 "LAYING" "tGravityAcc.std.Z" -0.85
1 "LAYING" "tBodyAccJerk.mean.X" 0.08
1 "LAYING" "tBodyAccJerk.mean.Y" 0
1 "LAYING" "tBodyAccJerk.mean.Z" 0.01
1 "LAYING" "tBodyAccJerk.std.X" -0.96
1 "LAYING" "tBodyAccJerk.std.Y" -0.92
1 "LAYING" "tBodyAccJerk.std.Z" -0.95
1 "LAYING" "tBodyGyro.mean.X" -0.02
1 "LAYING" "tBodyGyro.mean.Y" -0.06
1 "LAYING" "tBodyGyro.mean.Z" 0.15
1 "LAYING" "tBodyGyro.std.X" -0.87
1 "LAYING" "tBodyGyro.std.Y" -0.95
1 "LAYING" "tBodyGyro.std.Z" -0.91
1 "LAYING" "tBodyGyroJerk.mean.X" -0.11
1 "LAYING" "tBodyGyroJerk.mean.Y" -0.04
1 "LAYING" "tBodyGyroJerk.mean.Z" -0.07
1 "LAYING" "tBodyGyroJerk.std.X" -0.92
1 "LAYING" "tBodyGyroJerk.std.Y" -0.97
1 "LAYING" "tBodyGyroJerk.std.Z" -0.96
1 "LAYING" "tBodyAccMag.mean" -0.84
1 "LAYING" "tBodyAccMag.std" -0.8
1 "LAYING" "tGravityAccMag.mean" -0.84
1 "LAYING" "tGravityAccMag.std" -0.8
1 "LAYING" "tBodyAccJerkMag.mean" -0.95
1 "LAYING" "tBodyAccJerkMag.std" -0.93
1 "LAYING" "tBodyGyroMag.mean" -0.87
1 "LAYING" "tBodyGyroMag.std" -0.82
